"indicator_name","primary_DNA","secondary_DNA","rationale","confidence"
"Advance Retail Sales: Retail Trade","Growth","Inflation/Prices","Direct consumption activity gauge affecting GDP and sales","High"
"University of Michigan: Consumer Sentiment","Growth","Risk & Volatility","Forward consumer confidence impacting consumption","High"
"PHLX Semiconductor Sector Index","Sector/Commodity/Structural","Growth","Tech sector cyclical signal tied to capex and demand","High"
"ISM Manufacturing PMI","Growth","Inflation/Prices","Manufacturing activity leading GDP and input price pressure","High"
"ISM Services PMI","Growth","Inflation/Prices","Services demand indicator and price/backlog signals","High"
"Gold Copper Ratio","Risk/Commodity","Sector/Commodity/Structural","Relative safe‑haven vs cyclical commodity — stagflation proxy","Medium"
"Gold Silver Ratio","Risk/Commodity","Sector/Commodity/Structural","Precious metals relative value; liquidity/safe‑haven hint","Medium"
"New House Sale","Sector/Housing","Growth","Housing demand gauge with cyclical sensitivity","High"
"Building Permits","Sector/Housing","Growth","Forward housing supply and construction pipeline","High"
"PPI Semiconductor & Electronic Component Manufacturing","Inflation/Prices","Sector/Commodity/Structural","Sector PPI for tech goods price pressures","High"
"PPI Electronic Computer Manufacturing","Inflation/Prices","Sector/Commodity/Structural","Tech goods inflation signal","High"
"PPI: IT Technical Support & Consulting Services","Inflation/Prices","Growth","Services price pressure in IT sector","Medium"
"CBOE VIX Index","Risk & Volatility","Liquidity & Monetary","Market implied volatility (stress indicator)","High"
"Ted Spread","Credit & Financial Stress","Liquidity & Monetary","Bank funding stress indicator (interbank risk)","High"
"SOFR US3M Spread","Liquidity & Monetary","Credit & Financial Stress","Short funding / policy liquidity spread","High"
"US10Y-US2Y Spread","Liquidity & Monetary","Growth","Yield curve term signal linked to growth/recession risk","High"
"Sector ETF Short Interest","Risk & Volatility","Sector/Commodity/Structural","Market positioning / short pressure in sectors","Medium"
"Industrial Production Index","Growth","Sector/Commodity/Structural","Industrial output level indicating real activity","High"
"M2 Money Supply","Liquidity & Monetary","Growth","Broad liquidity and money supply supporting demand","High"
"Expected Change in Business Conditions in a Year (Table 26)","Growth","Sentiment","Forward business expectations (forecasted conditions)","Medium"
"Unemployment Rate","Growth","Inflation/Prices","Labor market slack/tightness affecting wages and demand","High"
"PPI final demand less foods and energy - WPUFD49104","Inflation/Prices","Growth","Core PPI inflation trend excluding volatile categories","High"
"Employment Cost Index (ECI)","Inflation/Prices","Growth","Wage inflation and unit labor cost pressure","High"
"Import Price Index","Inflation/Prices","Sector/Commodity/Structural","Imported goods price pressure feeding domestic inflation","High"
"Retailers: Inventories to Sales Ratio","Growth","Sector/Commodity/Structural","Inventory build vs sales — demand vs supply imbalance","High"
"Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft (NEWORDER)","Growth","Sector/Commodity/Structural","Capital investment demand indicator","High"
"Loans and Leases in Bank Credit, All Commercial Banks","Credit & Financial Stress","Liquidity & Monetary","Credit growth / lending supply measure","High"
"PPI Industry: Oil and Gas Field Machinery and Equipment Manufacturing","Inflation/Prices","Sector/Commodity/Structural","Capex price pressures in energy equipment","Medium"
"Credit Card Default Rate","Credit & Financial Stress","Growth","Consumer credit stress and household liquidity pressure","High"
"Annual Rate for Housing Units Authorized in Permit-Issuing Places","Sector/Housing","Growth","Housing supply pipeline — permits authorized","High"
"Annual Rate for Housing Units Started","Sector/Housing","Growth","Housing construction starts — activity","High"
"Annual Rate for New Single-Family Houses Sold","Sector/Housing","Growth","Housing demand for single-family units","High"
"Dodge Momentum Index (DMI)","Growth","Sector/Construction","Nonresidential construction momentum indicator","Medium"
"Architecture Billings Index (ABI)","Growth","Sector/Construction","Future nonresidential construction activity (billing)","Medium"
"ICE BofA US High Yield Index Option-Adjusted Spread","Credit & Financial Stress","Risk & Volatility","HY spread — credit risk premium and stress gauge","High"
"Cass Freight Index: Shipments","Growth","Trade","Goods shipment activity indicating cyclical trade demand","Medium"
"Transportation and warehousing employment","Growth","Sector/Commodity/Structural","Logistics sector labor trend tied to goods movement","Medium"
"Disposable Personal Income","Growth","Consumption","Household income supporting consumer spending","High"
"U.S. Exports of Services: Telecommunications, Computer, and Information Services","Sector/Trade","Growth","External demand for services, tech export signal","Medium"
"Personal Consumption Expenditures: Services (PCES)","Growth","Inflation/Prices","Services consumption and price contribution","High"
"Net Percentage of Domestic Banks Tightening Standards for Commercial and Industrial Loans to Large and Middle-Market Firms","Credit & Financial Stress","Liquidity & Monetary","Lending standards gauge for commercial credit supply","High"
"OAS (Option-Adjusted Spread) HY - IG spread","Credit & Financial Stress","Risk & Volatility","HY - IG spread — stress discriminator","High"
"Electricity Data - Net Generation","Sector/Commodity/Structural","Growth","Electricity production as activity proxy","Medium"
"Electricity Data - Consumption","Sector/Commodity/Structural","Growth","Electricity demand indicating economic activity","Medium"
"U.S. Natural Gas Imports","Sector/Commodity/Structural","Energy","Energy trade flow affecting supply/demand","Medium"
"U.S. Natural Gas Exports","Sector/Commodity/Structural","Energy","Export flows reflecting global demand and domestic surplus","Medium"
"PCE - Nondurable goods","Growth","Inflation/Prices","Consumption of goods and goods price pressures","Medium"
"PCE - Housing","Inflation/Prices","Sector/Housing","Housing-related consumption and price contribution","Medium"
"PCE - Health care","Inflation/Prices","Sector/Structural","Health services consumption and price pressure","Medium"
"PCE - Financial services and insurance","Inflation/Prices","Sector/Structural","Services price pressure in financial sector","Low"
"PCE - Communication","Inflation/Prices","Sector/Structural","Communication services price/demand signal","Low"
"Health System Tracker - National Health Spending Explorer","Sector/Structural","Inflation/Prices","Long-run health spending trends (low-frequency)","Low"
"Global Health Expenditure Database","Sector/Structural","Context","Cross-country health expenditure context (low-frequency)","Low"
"Petroleum & Other Liquids - Inventory","Sector/Commodity/Structural","Risk/Commodity","Oil inventory levels → near-term price pressure","High"
